feature,slope_abs,trend
Openness,-3.939387704188085e-05,converging
Conscientiousness,5.787224179536397e-05,diverging
Extraversion,-0.00044409380501443245,converging
Agreeableness,0.0006598560273685306,diverging
Neuroticism,-0.0003568018065790664,converging
polarity,0.001143209276683985,diverging
subjectivity,-0.002853798980827357,converging
vader_compound,0.00020924851851844892,diverging
vader_pos,-0.0008812825110318158,converging
vader_neu,-0.0011234376411047911,converging
vader_neg,0.00034768944819033406,diverging
word_diversity,-0.001033499207018397,converging
flesch_reading_ease,-0.3999468990256774,converging
gunning_fog,-0.028144485852344903,converging
average_word_length,-0.008467493453435662,converging
num_words,1.3506086623484608,diverging
avg_sentence_length,-0.11193097511581494,converging
verb_ratio,-0.00040511561918070335,converging
function_word_ratio,-0.00370059019419049,converging
content_word_ratio,-0.0037005901941904997,converging
