feature,slope_abs,trend
Openness,-0.0014586971015960839,converging
Conscientiousness,0.0001355224493615154,diverging
Extraversion,-0.001588175411337188,converging
Agreeableness,-2.6569125364137487e-05,converging
Neuroticism,-0.0012942708718549569,converging
polarity,-0.0005747904775737635,converging
subjectivity,-0.0007105985261414468,converging
vader_compound,-0.01541692609757913,converging
vader_pos,-0.0013810116739085335,converging
vader_neu,-0.0008065473019810542,converging
vader_neg,-0.0002895824802349849,converging
word_diversity,-0.0019572202407171888,converging
flesch_reading_ease,-0.44977013214791783,converging
gunning_fog,-0.028773677424949927,converging
average_word_length,-0.015563583137822894,converging
num_words,0.5421999999999254,diverging
avg_sentence_length,-0.15245244451898907,converging
verb_ratio,0.00014165636824517176,diverging
function_word_ratio,-0.004898053949093781,converging
content_word_ratio,-0.004898053949093795,converging
