feature,slope_abs,trend
Openness,6.447251313541171e-05,diverging
Conscientiousness,-0.00019931417449964482,converging
Extraversion,-0.0003330279900174149,converging
Agreeableness,0.0004006918233354794,diverging
Neuroticism,0.0002085933002177133,diverging
polarity,2.0432759161788605e-05,diverging
subjectivity,-0.005907464071836271,converging
vader_compound,-0.008140329999999134,converging
vader_pos,-0.0019830556129204666,converging
vader_neu,-0.0015184594943516273,converging
vader_neg,0.000242065070585594,diverging
word_diversity,-0.003781701171178308,converging
flesch_reading_ease,-0.37873513114896945,converging
gunning_fog,2.8106363383855675e-05,diverging
average_word_length,-0.02197659654269512,converging
num_words,0.6065330335801491,diverging
avg_sentence_length,-0.31805447697697736,converging
verb_ratio,-0.0009824201023509141,converging
function_word_ratio,-0.005120923991415507,converging
content_word_ratio,-0.005120923991415541,converging
