feature,slope_abs,trend
Openness,0.0010703927173239048,diverging
Conscientiousness,-0.0012131479467587525,converging
Extraversion,-0.0011356928147374947,converging
Agreeableness,-0.001115056469605312,converging
Neuroticism,-0.0006251462497701367,converging
polarity,-0.001040677158549347,converging
subjectivity,0.00011020079302298334,diverging
vader_compound,0.007320720000003002,diverging
vader_pos,0.0008385910462783045,diverging
vader_neu,9.45074555912445e-05,diverging
vader_neg,-0.00075006217414187,converging
word_diversity,0.0011433034603558956,diverging
flesch_reading_ease,0.27302238611148105,diverging
gunning_fog,-0.07915950100488753,converging
average_word_length,-0.0002112697188396425,converging
num_words,0.5957444839606836,diverging
avg_sentence_length,-0.2156141695878113,converging
verb_ratio,-0.0006037037985976219,converging
function_word_ratio,-0.002754944297633375,converging
content_word_ratio,-0.0027549442976333885,converging
