feature,slope_abs,trend
Openness,-0.0004434571761142754,converging
Conscientiousness,-0.0017934825058892089,converging
Extraversion,-0.00047191329732768045,converging
Agreeableness,-0.0009979017997494037,converging
Neuroticism,-0.0006863899445532652,converging
polarity,0.0035912288235827364,diverging
subjectivity,0.002266988902498647,diverging
vader_compound,-0.007613227197284347,converging
vader_pos,0.001059810792461581,diverging
vader_neu,-0.000809497718529491,converging
vader_neg,0.0011793944949420074,diverging
word_diversity,0.001964607257125105,diverging
flesch_reading_ease,0.390812286661629,diverging
gunning_fog,0.10732705342960144,diverging
average_word_length,0.006341428084128241,diverging
num_words,-0.035008662608061715,converging
avg_sentence_length,0.06757384164429187,diverging
verb_ratio,2.8979733012936612e-05,diverging
function_word_ratio,-0.0018256349230930753,converging
content_word_ratio,-0.001825634923093113,converging
