feature,slope_abs,trend
Openness,0.0009597534472923393,diverging
Conscientiousness,-0.0013347473197204576,converging
Extraversion,0.0005161930032452671,diverging
Agreeableness,0.00031624935185980215,diverging
Neuroticism,0.0008634480735736012,diverging
polarity,0.0015605336471668568,diverging
subjectivity,0.0009394440073610527,diverging
vader_compound,-0.005475590160694953,converging
vader_pos,-0.0008142176127759131,converging
vader_neu,-0.0025300099848858493,converging
vader_neg,0.0021032360100411746,diverging
word_diversity,0.00037752369689832474,diverging
flesch_reading_ease,-0.06238032544624394,converging
gunning_fog,-0.001771232641533482,converging
average_word_length,-0.00047149804948015857,converging
num_words,9.732395504904346,diverging
avg_sentence_length,0.002091593159718741,diverging
verb_ratio,5.9605922718580446e-05,diverging
function_word_ratio,-0.0010899323884672836,converging
content_word_ratio,-0.0010899323884672807,converging
